Hail,86240
Benson,86081
Haynes,85974
Horton,85195
Miles,84942
Lyons,84516
Pham,84320
Graves,84179
Bush,84018
Thornton,83967
Wolfe,83928
Warner,83781
Cabrera,83621
Mckinney,83616
Mann,83510
Zimmerman,83265
Dawson,83182
Lara,83067
Fletcher,83063
Page,82992
Mccarthy,82950
Love,82873
Robles,82458
Cervantes,82161
Solis,82146
Erickson,82085
Reeves,81978
Chang,81939
Klein,81471
Salinas,81156
Fuentes,81006
Baldwin,80742
Daniel,80526
Simon,80460
Velasquez,80364
Hardy,80252
Higgins,79803
Aguirre,79517
Lin,79508
Cummings,79316
Chandler,79186
Sharp,78990
Barber,78848
Bowen,78822
Ochoa,78677
Dennis,78482
Robbins,78381
Liu,78370
Ramsey,78350
Francis,78327
Griffith,78260
Paul,78256
Blair,78026
Oconnor,77923
Cardenas,77652
Pacheco,77642
Cross,77557
Calderon,77085
Quinn,76986
Moss,76908
Swanson,76897
Chan,76664
Rivas,76205
Khan,76171
Rodgers,76095
Serrano,75996
Fitzgerald,75356
Rosales,75185
Stevenson,75169
Christensen,75143
Manning,74949
Gill,74948
Curry,74919
Mclaughlin,74816
Harmon,74737
Mcgee,74542
Gross,74503
Doyle,74458
Garner,74324
Newton,74092
Burgess,73931
Reese,73919
Walton,73854
Blake,73797
Trujillo,73664
Adkins,73599
Brady,73145
Goodman,73136
Roman,72918
Webster,72625
Goodwin,72451
Fischer,72357
Huang,72328
Potter,72175
Delacruz,72109
Montoya,71844
Todd,71759
Wu,71721
Hines,71717
Mullins,71646
Castaneda,71368
Malone,71286
Cannon,71085
Tate,71058
Mack,71056
Sherman,70502
Hubbard,70362
Hodges,70223
Zhang,70125
Guerra,70071
Wolf,70031
Valencia,70000
Saunders,69943
Franco,69943
Rowe,69879
Gallagher,69834
Farmer,69617
Hammond,69515
Hampton,69472
Townsend,69360
Ingram,69345
Wise,68649
Gallegos,68373
Clarke,68281
Barton,68233
Schroeder,67977
Maxwell,67961
Waters,67929
Logan,67909
Camacho,67893
Strickland,67769
Norman,67704
Person,67411
Colon,67338
Parsons,67310
Frank,67304
Harrington,66959
Glover,66858
Osborne,66827
Buchanan,66648
Casey,66556
Floyd,66454
Patton,66293
Ibarra,66063
Ball,66059
Tyler,66056
Suarez,66013
Bowers,66003
Orozco,65904
Salas,65468
Cobb,65125
Gibbs,65064
Andrade,65037
Bauer,65004
Conner,64572
Moody,64429
Escobar,64403
Mcguire,64327
Lloyd,64202
Mueller,64191
Hartman,64106
French,63991
